citycode;population;PCT_working_high;Student_per1000;women_per_100;Median_population_age;household_size;pct_unemployment;households_1_person;car_1000;car_killed_1000;pct_nationals;birth_1000;cities_name
DE118C;101943.0;34.0;181.0;103.7;44.4;2.0;5.0;47.0;504.1;0.1;86.0;10.0;Siegen
DE119C;111636.0;37.0;6.0;108.8;47.7;2.0;4.0;32.0;533.47;0.18;89.0;8.0;Bergisch Gladbach
DE120C;101055.0;30.0;118.0;109.2;45.1;2.0;6.0;51.0;440.3;0.0;91.0;9.0;Hildesheim
DE121C;95876.0;34.0;30.0;105.4;47.2;2.0;5.0;46.0;521.3;0.0;88.0;9.0;Witten
DE122C;87516.0;27.0;33.0;105.5;50.0;2.0;4.0;48.0;482.49;0.23;98.0;9.0;Zwickau
DE123C;112385.0;59.0;249.0;100.9;38.7;2.0;3.0;49.0;432.55;0.09;81.0;10.0;Erlangen
DE124C;355004.0;27.0;66.0;103.8;44.4;2.0;6.0;43.0;434.03;0.11;80.0;10.0;Wuppertal
DE125C;110731.0;46.0;198.0;100.0;39.1;2.0;4.0;50.0;356.26;0.27;90.0;10.0;Jena
DE126C;91272.0;21.0;34.0;102.2;46.0;2.0;7.0;40.0;468.35;0.33;83.0;11.0;Düren, Stadt
DE127C;71061.0;20.0;23.0;103.8;46.0;2.0;3.0;40.0;520.61;0.56;91.0;10.0;Bocholt, Stadt
DK001C;559440.0;33.0;44.0;101.6;36.0;2.0;4.0;39.0;350.75;0.68;94.0;12.0;København
DK002C;319094.0;42.0;111.0;104.2;37.5;2.0;5.0;40.0;289.56;0.68;94.0;14.0;Århus
DK003C;193370.0;33.0;78.0;105.0;39.2;2.0;5.0;40.0;313.1;0.68;94.0;13.0;Odense
DK004C;203448.0;34.0;78.0;101.8;39.7;2.0;6.0;41.0;322.19;0.68;96.0;12.0;Aalborg
EE001C;438341.0;50.0;54.0;119.5;40.0;2.0;6.0;45.0;331.76;0.09;78.0;10.0;Tallinn
EE002C;95430.0;48.0;174.0;121.5;39.0;2.0;4.0;44.0;379.49;0.31;91.0;11.0;Tartu
EE003C;53424.0;35.0;11.0;123.0;49.0;2.0;16.0;42.0;387.39;0.19;49.0;6.0;Narva
EL001C;2622404.0;26.0;32.0;104.0;41.0;3.0;19.0;26.0;479.21;1.05;92.0;10.0;Hellas/Greece
EL002C;315196.0;33.0;131.0;114.0;42.0;2.0;11.0;28.0;479.21;0.62;93.0;10.0;Thessaloniki
EL003C;170896.0;24.0;45.0;102.9;37.0;3.0;16.0;22.0;479.21;0.87;94.0;11.0;Pátra
EL004C;151324.0;26.0;59.0;102.6;36.0;3.0;11.0;22.0;479.21;1.41;96.0;14.0;Irakleio
EL005C;146926.0;27.0;70.0;104.8;38.0;3.0;11.0;17.0;479.21;1.81;96.0;12.0;Larisa
EL006C;86046.0;26.0;28.0;108.1;41.0;3.0;12.0;22.0;479.21;1.18;96.0;10.0;Volos
EL007C;80371.0;33.0;93.0;110.6;38.0;3.0;13.0;24.0;479.21;0.79;94.0;11.0;Ioannina
EL008C;58790.0;23.0;69.0;108.6;43.0;3.0;12.0;21.0;479.21;0.94;95.0;10.0;Kavala
EL009C;62409.0;20.0;53.0;103.8;40.0;3.0;12.0;19.0;479.21;1.3;95.0;11.0;Kalamata
ES001C;5098717.0;48.0;67.0;111.4;43.4;3.0;13.0;27.0;430.74;0.14;86.0;8.0;Madrid
ES002C;3755512.0;45.0;78.0;107.1;43.2;3.0;12.0;27.0;349.74;0.14;82.0;8.0;Barcelona
ES003C;1417464.0;41.0;90.0;107.4;44.0;3.0;16.0;28.0;441.3;0.12;88.0;7.0;Valencia
ES004C;884899.0;43.0;108.0;109.3;43.5;3.0;20.0;26.0;452.76;0.14;95.0;8.0;Sevilla
ES005C;681877.0;46.0;53.0;109.1;45.4;2.0;12.0;29.0;373.34;0.18;88.0;7.0;Zaragoza
ES006C;578460.0;35.0;88.0;108.2;42.9;3.0;18.0;26.0;442.02;0.26;91.0;8.0;Málaga
ES007C;459403.0;39.0;115.0;104.2;41.4;3.0;16.0;24.0;487.59;0.17;87.0;9.0;Murcia
ES008C;381223.0;36.0;75.0;107.3;45.0;3.0;22.0;27.0;425.03;0.05;92.0;6.0;Las Palmas
ES009C;299265.0;46.0;83.0;113.4;49.4;2.0;12.0;31.0;438.39;0.23;95.0;6.0;Valladolid
ES010C;422587.0;34.0;53.0;104.5;41.4;3.0;18.0;26.0;532.47;0.24;83.0;8.0;Palma de Mallorca
ES011C;97848.0;55.0;256.0;115.2;46.3;2.0;11.0;31.0;481.81;0.1;95.0;6.0;Santiago de Compostela
